titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche
Data Scientist F/H,iPepper,,,45 - 50 k€ brut annuel,"Contexte .Nous recherchons un Data Scientist confirmé (H/F) pour accompagner nos clients grands comptes dans leurs projets Data, IA et Machine Learning. .Vous interviendrez au cœur des équipes Data, sur des missions à forte valeur ajoutée : modélisation, optimisation, prédictio...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178077294W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,UNION TECHNOLOGIES INFORMATIQUE,,,37 - 45 k€ brut annuel,"Dans le cadre du renforcement du pôle Data Science de notre client, acteur majeur dans le domaine bancaire, vous intervenez en tant que Data Scientist sur l'ensemble de la chaîne de valeur data science et plus particulièrement sur des problématiques de modélisation avancées. Vos...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177991516W,2026-02-11,APEC,Data Scientist
DATA SCIENTIST F/H,INFORCA S.A.M,,,48 - 53 k€ brut annuel,Nous recherchons pour ce client monégasque un Data Scientist H/F afin d’analyser et faciliter les décisions stratégiques. Le Data Scientist travaillera sur des analyses de données et participera au développement de modèles prédictifs et d'algorithmes d'apprentissage automatique. ...,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177993395W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,D3S,,,A partir de 50 k€ brut annuel,"Data Scientist, tu contribueras aux développements d'algorithmes et modèles IA pour les leaders de l'industrie (Airbus, Renault, Safran, CMA, Nexans, etc). Nos technologies propriétaires sont le fruit d'une R&D interne active. L'IA appliquée aux plans de 3D (automobile et aérona...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177736742W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,Consort Group,,,39 - 43 k€ brut annuel,"En tant qu’ Ingénieur·e Data & IA , vous êtes responsable du développement , de l’industrialisation et de l’exploitation de solutions data & IA au sein de notre écosystème. : Côté build : Concevoir et développer des solutions IA basées sur des LLM pour enrichir et structurer la...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177964629W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,PMU,,,A partir de 60 k€ brut annuel,"L'équipe Data Science & Insights recherche un(e) Data Scientist qui sera amené(e) à réaliser des analyses,?développer des modèles de Data Science et gérer leur cycle de vie (run, évolutions, maintenance..) pour répondre à des cas d'usage métier (ex : scores d'appétence ou de risq...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177936381W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,KLANIK,,,A partir de 50 k€ brut annuel,"Contexte : Rejoignez une équipe engagée dans l'amélioration continue des chaînes communicantes et la valorisation des données pour optimiser leur exploitation. Vous interviendrez sur des sujets à fort impact, mêlant performance, supervision et innovation. Vos missions princip...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178095720W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,MICHAEL PAGE INTERNATIONAL FRANCE,,,50 - 55 k€ brut annuel,"Vos missions principales :* Identifier et consolider les besoins en traitement automatique du langage avec les équipes de recherche et de pilotage. * Développer, valider et maintenir des bibliothèques logicielles scientifiques en Python. * Concevoir et déployer des modèles de mac...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024651W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,DEEPTECH SERVICES,,,40 - 48 k€ brut annuel,"À propos de WrenchMind WrenchMind est une plateforme GenAI pour l’automobile qui aide particuliers et professionnels à comprendre, diagnostiquer et décider grâce à des assistants intelligents et des agents IA basés sur les données véhicules et réglementaires. Mission Concevoir...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178034596W,2026-02-11,APEC,Data Scientist
data scientist/ data manager F/H,ALTEN,,,32 - 46 k€ brut annuel,"Contexte du poste: Dans le cadre du renforcement de nos équipes data, nous recherchons un(e) Data Scientist / Data Manager pour intervenir sur des projets de digitalisation, d’automatisation et d’industrialisation de solutions data . Le poste s’inscrit dans des environnements co...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178066877W,2026-02-11,APEC,Data Scientist
LEAD DATA SCIENTIST F/H,Expectra,,,A partir de 60 k€ brut annuel,"Nous recherchons pour le compte de notre client basé à Poitiers (86), Un Lead Data Scientist (F/H) Vos principales missions : Développement et industrialisation de modèles IA - Piloter la conception, le développement et le déploiement de modèles Machine Learning pour répondre à ...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177985930W,2026-02-11,APEC,Data Scientist
Data Scientist (CFE) F/H,OXO-TEAM,,,35 - 45 k€ brut annuel,"En tant que Data Scientist, vous interviendrez sur un large périmètre couvrant la compréhension métier, la conception de modèles, l’analyse et l’activation des données. Vos missions : Concevoir, développer et déployer des modèles prédictifs avancés. Expérimenter et implémenter...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177703066W,2026-02-11,APEC,Data Scientist
Data Scientist Senior F/H,ACTIVUS GROUP,,,45 - 50 k€ brut annuel,"Recherche Data Scientist Dans le cadre d’un programme de transformation des données liées à un outil de gestion de maintenance, nous recherchons un Data Scientist pour renforcer une équipe projet sur des sujets de qualité, de traçabilité et de préparation de données en vue de le...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178105836W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,MINISTERE DE L' INTERIEUR ET DES OUTRE-MER,,,A négocier,"Cadre général de vos missions Sous la supervision de votre manager, le chef du bureau des systèmes d’information, vous organisez et pilotez opérationnellement les activités du DataLab ; vous encadrez les 2 data scientists déjà en poste. Vos actions et celles de votre équipe perm...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177763241W,2026-02-11,APEC,Data Scientist
DATA SCIENTIST - F/H,Banque de France,,,A négocier,"En lien avec les autres data scientists de l'équipe Suptech, vous participerez aux expérimentations (proof of concept, minimum viable products) menées par le PFI et, le cas échéant, aux mises en production des outils, en coopération avec les équipes techniques et métiers ainsi qu...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177994180W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,NEXTON,,,A négocier,"NEXTON recrute un Data Scientist H/F , en CDI , à Lille ! Ton futur environnement de travail : Tu interviendras au cœur du développement d'une plateforme, en étroite collaboration avec les Product Owners, les chefs de projet, les experts data et les équipes SI. Tes missions ...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178075351W,2026-02-11,APEC,Data Scientist
Data Scientist F/H,Siège de l'AP-HP,,,50 - 70 k€ brut annuel,"L'équipe Data de la BNDMR est en charge de l'exploitation et de la valorisation de l'Entrepôt de Données (EDS) de la BNDMR. Intégrée à une cellule opérationnelle pluridisciplinaire d'environ 40 personnes, elle est composée d'un Chief Data Officer, de 6 data scientists, de 3 data ...",https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178025657W,2026-02-11,APEC,Data Scientist
